transaction_id,fecha,anio,mes,nombre_mes,empresa,cliente_proveedor,categoria,subcategoria,tipo_movimiento,importe_limpio,moneda,canal_pago,estado,centro_coste,descripcion,referencia_externa,pais
TRX-100025,2024-02-21,2024,2,Febrero,Andes Investments SL,Suministros Castell S.A.,Suministros,Oficina,Gasto,3403.99,USD,SEPA,Pagado,RRHH,Revolución europea oro revolución situación cuerpo antes libros.,REF-20500,Francia
TRX-100026,2024-03-10,2024,3,Marzo,Grupo Meridian SA,Cortes y Guzmán S.L.N.E,Servicios,Asesoría,Ingreso,2932.2,EUR,SEPA,Pagado,RRHH,Razones pero estructura mayoría precios chile.,REF-15209,España
TRX-100027,2025-08-20,2025,8,Agosto,Atlantic Holdings SL,Inmobiliaria Iberia S.L.,Impuestos,Sociedades,Gasto,2651.82,EUR,Bizum,Pagado,Operaciones,Vista ser aquellos nuestro grado.,REF-61876,España
TRX-100028,2024-11-19,2024,11,Noviembre,Iberia Finance SL,Mayoral & Asociados S.A.T.,Marketing,Eventos,Ingreso,2425.43,EUR,SEPA,Cancelado,Finanzas,Última dar tiempo lejos ahí militar.,REF-80468,España
TRX-100029,2024-12-23,2024,12,Diciembre,Nordic Capital SA,Amorós & Asociados S.L.N.E,Marketing,Publicidad,Ingreso,5173.32,EUR,Tarjeta,Pagado,RRHH,Cual imposible algunas nada siendo fernando seguridad.,REF-49651,España
TRX-100030,2025-11-14,2025,11,Noviembre,Cresta Partners SA,Restauración JCWB S.L.L.,Financiación,Préstamos,Gasto,3674.47,EUR,Tarjeta,Pagado,Finanzas,C tiempo norte proyecto seguridad sueño.,REF-82512,España
TRX-100031,2024-08-03,2024,8,Agosto,Nordic Capital SA,Inversiones Real y asociados S.Com.,Marketing,Contenido,Gasto,2530.97,EUR,Efectivo,Pagado,Operaciones,Palabra sistema partes interior actitud cuenta apoyo.,REF-16658,España
TRX-100032,2024-02-15,2024,2,Febrero,Atlantic Holdings SL,Abad y Mateu S.C.P,Impuestos,Retenciones,Ingreso,2139.62,EUR,Bizum,Cancelado,Comercial,Memoria importantes varios arte trabajadores diez cuadro lenguaje estructura.,REF-67912,España
TRX-100033,2024-01-10,2024,1,Enero,Iberia Finance SL,Instalaciones IGEX S.A.U,Impuestos,Sociedades,Ingreso,4222.02,GBP,Bizum,Rechazado,RRHH,Tarde dentro pero centro hacía parís ahora.,REF-14722,Francia
TRX-100034,2024-05-31,2024,5,Mayo,Nordic Capital SA,Ferreras y Plana S.Coop.,Otros,Regularización,Gasto,5113.94,EUR,Efectivo,Rechazado,Finanzas,Entonces puedo área oro considera diferencia estados.,REF-56898,España
TRX-100035,2024-04-15,2024,4,Abril,Andes Investments SL,Aureliano Ibañez Carrión S.Coop.,Nómina,Seguridad Social,Gasto,4891.45,USD,Paypal,Cancelado,Dirección,Tratamiento rafael unión suficiente socialista decía escuela prensa s.,REF-30257,Italia
TRX-100036,2026-03-30,2026,3,Marzo,Grupo Meridian SA,Teófila Cuenca Taboada S.Coop.,Nómina,Sueldos,Ingreso,1940.56,EUR,Bizum,Rechazado,TI,Prueba alguna fácil gonzález estar mediante viaje.,REF-97806,Francia
TRX-100037,2024-06-12,2024,6,Junio,Grupo Meridian SA,Inmobiliaria Internacionales S.Com.,Nómina,Bonos,Ingreso,2639.99,USD,Paypal,Pagado,TI,Aunque debe vista cómo nuestra especial mercado uso ni volvió.,REF-55830,España
TRX-100038,2024-01-25,2024,1,Enero,Grupo Meridian SA,Aller y Pintor S.Coop.,Nómina,Sueldos,Ingreso,2400.0,EUR,Transferencia,Cancelado,Operaciones,Dicho ex socialista g pasar corazón felipe presenta.,REF-56025,España
TRX-100039,2025-07-03,2025,7,Julio,Iberia Finance SL,Isidoro Llamas Ruano S.Coop.,Impuestos,Sociedades,Gasto,2824.14,EUR,Efectivo,Pagado,Operaciones,Éste permite minutos nunca niño mientras parecía le.,REF-15014,España
TRX-100040,2026-01-16,2026,1,Enero,Grupo Meridian SA,Amores y Blanes S.L.,Impuestos,Retenciones,Gasto,4635.03,EUR,SEPA,Pagado,RRHH,Señaló frente carlos mil ninguna orden.,REF-34914,España
TRX-100041,2025-06-16,2025,6,Junio,Atlantic Holdings SL,Lobo y Robles S.C.P,Impuestos,IVA,Ingreso,5886.29,EUR,Bizum,Rechazado,RRHH,Futuro deja qué marzo posible.,REF-51145,España
TRX-100042,2024-11-03,2024,11,Noviembre,Cresta Partners SA,Banco XK S.A.,Servicios,Asesoría,Gasto,3743.11,EUR,Paypal,Pagado,RRHH,Eran soy presidente encuentran bueno mis.,REF-26683,España
TRX-100043,2026-02-05,2026,2,Febrero,Andes Investments SL,Diez & Asociados S.L.,Impuestos,Sociedades,Ingreso,2180.16,EUR,Paypal,Pagado,Finanzas,Buscar caso sus cosa existen curso.,REF-49829,España
TRX-100044,2025-09-13,2025,9,Septiembre,Grupo Meridian SA,Fiol y Benitez S.Coop.,Impuestos,Sociedades,Gasto,3058.72,EUR,Bizum,Pagado,TI,Sociedad ve manos tiempos puerto europea fuerte también época sur bien.,REF-32241,España
TRX-100045,2025-11-10,2025,11,Noviembre,Iberia Finance SL,Alberola y asociados S.L.L.,Marketing,Contenido,Gasto,6419.93,EUR,Tarjeta,Pagado,Comercial,Principio tengo socialista movimiento cómo.,REF-36100,España
TRX-100046,2025-05-01,2025,5,Mayo,Grupo Meridian SA,Inmobiliaria Tomás S.Coop.,Ventas,Venta producto,Ingreso,3260.5,EUR,Bizum,Pagado,Dirección,Siglo ocasión s tan razones unas bueno actividades interior me.,REF-60328,España
TRX-100047,2025-11-02,2025,11,Noviembre,Iberia Finance SL,Espada y asociados S.A.T.,Nómina,Sueldos,Ingreso,2654.89,EUR,Tarjeta,Pagado,Dirección,Buena aspecto habrá muchas las siguientes gobierno.,REF-77889,España
TRX-100048,2024-05-04,2024,5,Mayo,Nordic Capital SA,Torres y Hernandez S.L.,Financiación,Préstamos,Gasto,2772.62,EUR,Bizum,Pagado,RRHH,Datos para cuanto minutos unas norte solo allá palabras.,REF-88047,España
TRX-100049,2026-04-14,2026,4,Abril,Andes Investments SL,Ortiz y asociados S.C.P,Logística,Distribución,Gasto,3734.79,EUR,Tarjeta,Pendiente,TI,Realidad valores mal miedo suficiente compañía sistema.,REF-68991,España
TRX-100050,2024-10-10,2024,10,Octubre,Cresta Partners SA,Leonel Zamorano Luna S.L.U.,Nómina,Seguridad Social,Gasto,1977.26,EUR,Paypal,Pagado,Operaciones,Equipo creo manos río mucho muy.,REF-40735,España
TRX-100051,2024-03-23,2024,3,Marzo,Nordic Capital SA,Hermanos Cases S.L.,Suministros,Energía,Ingreso,2369.25,EUR,Bizum,Pagado,Comercial,Antes por verdad posibilidad quiere peor través podrá estos.,REF-18418,España
TRX-100052,2025-04-22,2025,4,Abril,Iberia Finance SL,Servicios DGC S.A.,Suministros,Energía,Gasto,4856.63,EUR,Paypal,Pagado,RRHH,Martín gobierno final mar diferentes especialmente secretario características tampoco pequeña.,REF-12560,Francia
TRX-100053,2025-05-03,2025,5,Mayo,Atlantic Holdings SL,Suministros Mayoral & Asociados S.Coop.,Otros,Ajustes,Ingreso,3682.96,EUR,Paypal,Pendiente,TI,Encuentran parece fuera línea luego.,REF-80545,Portugal
TRX-100054,2024-08-13,2024,8,Agosto,Nordic Capital SA,Comercializadora Crespi S.A.,Financiación,Comisiones,Gasto,3277.36,EUR,Paypal,Pagado,Operaciones,Francia futuro este podría tú intereses ese mí nombre.,REF-97670,España
TRX-100055,2024-06-18,2024,6,Junio,Nordic Capital SA,Suministros Españolas S.Coop.,Impuestos,Sociedades,Gasto,4974.04,GBP,SEPA,Pagado,TI,Pequeña mira ese poder falta deja.,REF-87580,España
TRX-100056,2025-10-20,2025,10,Octubre,Nordic Capital SA,Supermercados Casanova y asociados S.L.,Ventas,Venta producto,Gasto,2107.95,USD,Tarjeta,Pagado,TI,Semanas calidad central aunque son servicios varios obra.,REF-52906,España
TRX-100057,2026-02-18,2026,2,Febrero,Atlantic Holdings SL,Hotel RDXZ S.L.,Suministros,Tecnología,Gasto,2613.2,EUR,Paypal,Pagado,Finanzas,Fuentes serán tienen juego arte alguna n.,REF-71644,España
TRX-100058,2024-12-24,2024,12,Diciembre,Cresta Partners SA,Téllez y Bou S.Coop.,Financiación,Préstamos,Ingreso,3623.91,EUR,Bizum,Pagado,Finanzas,Luz grande asociación proyecto realizar podría deseo aspectos.,REF-42411,España
TRX-100059,2024-06-05,2024,6,Junio,Nordic Capital SA,Hnos Borja S.Com.,Ventas,Suscripción,Ingreso,3561.17,EUR,Transferencia,Pagado,Comercial,Mayor psoe señora tales la zonas llegó han.,REF-70952,España
TRX-100060,2025-09-12,2025,9,Septiembre,Nordic Capital SA,Valentín y asociados S.L.,Suministros,Oficina,Ingreso,1333.95,GBP,Transferencia,Pagado,Operaciones,Público momento podría aspecto gonzález me.,REF-85470,España
TRX-100061,2026-01-02,2026,1,Enero,Iberia Finance SL,Distribuciones Inteligentes S.Coop.,Impuestos,Retenciones,Ingreso,2480.92,EUR,Bizum,Pagado,Dirección,Quién tarde consumo estos encuentran haciendo casi hermano aquel ejército.,REF-49529,Francia
TRX-100062,2026-03-26,2026,3,Marzo,Atlantic Holdings SL,Tolosa y Sureda S.A.U,Otros,Varios,Ingreso,2861.46,EUR,Bizum,Pagado,RRHH,Nuevo tener favor humanos pues tiempo psoe salida buena plazo.,REF-94874,España
TRX-100063,2024-04-18,2024,4,Abril,Atlantic Holdings SL,Alimentación Luna y asociados S.L.L.,Impuestos,Retenciones,Gasto,3821.65,EUR,Paypal,Pagado,TI,Términos aire todas resultado internacional seguir ministerio ninguna varios social.,REF-33086,Portugal
TRX-100064,2026-04-07,2026,4,Abril,Grupo Meridian SA,Restauración Ibéricos S.L.L.,Marketing,Contenido,Gasto,3554.94,EUR,Bizum,Pagado,Operaciones,Había mayores ejército local hubiera norte mejores conseguir.,REF-42177,Francia
TRX-100065,2025-04-06,2025,4,Abril,Grupo Meridian SA,Angelino Cases Vallés S.L.N.E,Servicios,Mantenimiento,Ingreso,2997.06,EUR,Bizum,Pagado,Finanzas,Zonas temas mediante próximo cara quedó dirección bastante.,REF-74789,Francia
TRX-100066,2024-08-05,2024,8,Agosto,Atlantic Holdings SL,Comercializadora Soria S.L.,Consultoría,Finanzas,Gasto,920.63,EUR,SEPA,Pagado,Operaciones,Español realizar muestra ocasión industria intereses tampoco.,REF-82848,España
TRX-100067,2024-09-04,2024,9,Septiembre,Grupo Meridian SA,Torrents & Asociados S.Coop.,Nómina,Sueldos,Gasto,3073.71,EUR,Tarjeta,Pagado,Dirección,Blanco distintas somos sean principio según económico.,REF-74332,España
TRX-100068,2024-10-28,2024,10,Octubre,Grupo Meridian SA,Supermercados KU S.A.,Ventas,Venta producto,Ingreso,3215.73,EUR,Efectivo,Pagado,Operaciones,Cuanto pesar decir tenido fuerte.,REF-72031,España
TRX-100069,2026-02-02,2026,2,Febrero,Atlantic Holdings SL,DESCONOCIDO,Suministros,Tecnología,Gasto,9090.77,EUR,Efectivo,Pagado,Comercial,Quizá san esfuerzo otras visto último mis del.,REF-25814,Portugal
TRX-100070,2026-01-30,2026,1,Enero,Nordic Capital SA,Valentina Maestre Cruz S.A.,Suministros,Oficina,Ingreso,2813.94,EUR,Paypal,Pagado,RRHH,Rafael dicho imposible compañía cara manos premio adelante.,REF-78765,España
TRX-100071,2024-10-30,2024,10,Octubre,Atlantic Holdings SL,Industrias DDZ S.Com.,Servicios,Soporte,Ingreso,3633.69,EUR,Transferencia,Pagado,Comercial,Hora fuerte radio mayores desde teatro serie lópez.,REF-45954,España
TRX-100072,2024-10-26,2024,10,Octubre,Cresta Partners SA,Hotel Ortuño & Asociados S.L.,Ventas,Suscripción,Ingreso,5371.34,USD,Paypal,Pagado,Finanzas,Obra mitad materia argentina pues país formas son expresión ya española.,REF-85243,España
TRX-100073,2024-12-14,2024,12,Diciembre,Iberia Finance SL,Compañía Marquez S.Com.,Logística,Almacenaje,Ingreso,4507.72,EUR,Paypal,Pagado,Finanzas,Tienen esto resultado r tenido humana s modo suerte.,REF-62521,España
TRX-100074,2025-12-03,2025,12,Diciembre,Nordic Capital SA,Noelia Marquez Nevado S.L.,Otros,Regularización,Ingreso,6002.83,EUR,SEPA,Rechazado,Finanzas,Imposible nacional piel oro éxito paciente arriba película condiciones.,REF-42530,España
TRX-100075,2025-09-02,2025,9,Septiembre,Andes Investments SL,Alcalá y Lamas S.Coop.,Impuestos,Sociedades,Ingreso,1346.49,EUR,Paypal,Pagado,RRHH,Solo deja información música silencio amor trabajadores mes objeto.,REF-66207,España
TRX-100076,2025-09-16,2025,9,Septiembre,Nordic Capital SA,Giralt & Asociados S.L.,Otros,Varios,Ingreso,1766.46,EUR,Efectivo,Pagado,Comercial,Armas manos quién madrid sistemas familia figura país mucha.,REF-41439,España
TRX-100077,2024-01-03,2024,1,Enero,Grupo Meridian SA,Restauración Santiago S.Com.,Servicios,Soporte,Gasto,2282.82,EUR,Paypal,Pagado,Comercial,Capital médico toda especial según valor quién marzo este acción.,REF-47762,España
TRX-100078,2025-12-04,2025,12,Diciembre,Atlantic Holdings SL,DESCONOCIDO,Logística,Transporte,Ingreso,1212.76,EUR,Bizum,Pagado,Comercial,Conjunto perdido ellas hijo manera ellos sueño ninguna.,REF-65723,España
TRX-100079,2024-06-01,2024,6,Junio,Nordic Capital SA,Banca Privada Castellana S.L.,Nómina,Seguridad Social,Gasto,3229.6,EUR,Tarjeta,Pendiente,RRHH,Vuelve plazo aún título palabra plan aspectos.,REF-84607,Italia
TRX-100080,2025-04-24,2025,4,Abril,Cresta Partners SA,Manufacturas Globales S.L.,Logística,Transporte,Gasto,1846.92,EUR,Efectivo,Pagado,TI,Que puso nuevo quien obra pueden sur sus no mantener.,REF-67377,España
TRX-100081,2026-01-22,2026,1,Enero,Andes Investments SL,Logística Avanzadas S.A.,Ventas,Venta servicio,Gasto,6381.25,EUR,Transferencia,Pagado,Dirección,Mucho europa estos parte datos.,REF-85392,España
TRX-100082,2026-04-21,2026,4,Abril,Andes Investments SL,Vilanova & Asociados S.Coop.,Ventas,Suscripción,Gasto,2007.74,EUR,Tarjeta,Pagado,Dirección,Deseo había nuestras santiago políticos edad buscar.,REF-67963,Italia
TRX-100083,2025-03-22,2025,3,Marzo,Iberia Finance SL,Hnos Querol S.Com.,Consultoría,Operaciones,Gasto,2621.31,EUR,Paypal,Pagado,Dirección,Aire armas cada aunque evitar.,REF-23710,Francia
TRX-100084,2025-12-11,2025,12,Diciembre,Atlantic Holdings SL,Desarrollo GEL S.Com.,Suministros,Tecnología,Gasto,4637.13,EUR,Paypal,Pendiente,RRHH,Tenido miembros conocer menos precisamente industria viejo carrera valores ejemplo.,REF-14809,España
TRX-100085,2024-11-27,2024,11,Noviembre,Grupo Meridian SA,Susanita Gracia Riba S.Com.,Suministros,Tecnología,Ingreso,1511.88,USD,Transferencia,Pagado,RRHH,Última metros primero primero madre jamás puedo soy ella.,REF-70552,España
TRX-100086,2025-01-05,2025,1,Enero,Cresta Partners SA,Compañía FMQ S.Coop.,Nómina,Seguridad Social,Gasto,1164.13,EUR,Transferencia,Pagado,RRHH,Instituto cuales grande papel instituciones pacientes relaciones centros porque podría.,REF-27172,Italia
TRX-100087,2025-05-11,2025,5,Mayo,Iberia Finance SL,Minería Calleja & Asociados S.A.,Logística,Distribución,Ingreso,3426.94,GBP,SEPA,Pendiente,Dirección,Tarde nada solución fuerza fecha partidos cuestión solución animales.,REF-30758,España
TRX-100088,2025-02-21,2025,2,Febrero,Nordic Capital SA,Hermanos Andres S.A.,Ventas,Suscripción,Ingreso,3559.08,GBP,Transferencia,Pagado,Finanzas,Distintas ahí frente mejor lucha tiempo construcción.,REF-94896,Francia
TRX-100089,2024-10-25,2024,10,Octubre,Grupo Meridian SA,Familia Garrido S.Com.,Logística,Distribución,Gasto,4570.23,USD,Paypal,Pagado,RRHH,Quiere único valores fácil jóvenes otra qué pasado secretario.,REF-28958,España
TRX-100090,2026-02-03,2026,2,Febrero,Iberia Finance SL,Inmobiliaria IZW S.C.P,Otros,Regularización,Ingreso,4045.72,EUR,Paypal,Pagado,RRHH,Estos estudio tú viene efecto tratamiento muy comisión favor los.,REF-45018,Francia
TRX-100091,2024-11-01,2024,11,Noviembre,Nordic Capital SA,Fábrica Cervantes y asociados S.C.P,Marketing,Contenido,Gasto,3625.47,EUR,Paypal,Pagado,RRHH,Los sean tienen tampoco enfermedad calidad.,REF-81228,España
TRX-100092,2025-12-15,2025,12,Diciembre,Andes Investments SL,Bello y asociados S.L.L.,Suministros,Oficina,Ingreso,2135.69,EUR,Paypal,Pagado,Dirección,Cultura movimiento después primero empresas.,REF-71993,España
TRX-100093,2025-11-10,2025,11,Noviembre,Grupo Meridian SA,Rios y Mancebo S.A.,Impuestos,Retenciones,Ingreso,3510.18,GBP,Tarjeta,Pagado,RRHH,Piel personas encuentran movimiento.,REF-53515,Francia
TRX-100094,2025-06-22,2025,6,Junio,Iberia Finance SL,Borja y asociados S.L.L.,Logística,Transporte,Gasto,3618.43,EUR,Paypal,Pendiente,Comercial,Cultura estoy te comercio humanos países cultural.,REF-19807,España
TRX-100095,2025-09-30,2025,9,Septiembre,Cresta Partners SA,Consultoría AVSL S.L.L.,Marketing,Eventos,Gasto,2092.56,EUR,Efectivo,Pendiente,RRHH,Allí algunos cuatro clase humano bastante.,REF-59808,Alemania
TRX-100096,2024-02-06,2024,2,Febrero,Nordic Capital SA,Transportes Simó S.L.,Logística,Distribución,Ingreso,7246.55,EUR,Efectivo,Cancelado,Dirección,Consejo llama manuel opinión elementos entrar formas debe bien arte.,REF-21846,España
TRX-100097,2025-12-21,2025,12,Diciembre,Grupo Meridian SA,Inmobiliaria Barbero y asociados S.Coop.,Servicios,Asesoría,Ingreso,3953.25,EUR,Efectivo,Rechazado,Finanzas,Llegó esta solo unidos siquiera perdido tanto.,REF-52516,Portugal
TRX-100098,2025-01-18,2025,1,Enero,Nordic Capital SA,DESCONOCIDO,Marketing,Eventos,Gasto,1784.19,EUR,Paypal,Pagado,Comercial,Encima varios nuevos debe nos estado revolución palabras quería prensa.,REF-32280,España
TRX-100099,2025-09-26,2025,9,Septiembre,Grupo Meridian SA,Banco Huguet S.L.,Otros,Ajustes,Ingreso,4581.29,USD,Tarjeta,Pagado,Dirección,Pública actividades c grado obras juez permite qué blanco.,REF-43289,España
TRX-100100,2024-10-21,2024,10,Octubre,Iberia Finance SL,Bastida y asociados S.A.,Ventas,Venta servicio,Ingreso,4962.34,EUR,Efectivo,Cancelado,Operaciones,Derecho éxito siete violencia instituciones claro b trabajo.,REF-93746,Alemania
TRX-100101,2024-11-05,2024,11,Noviembre,Grupo Meridian SA,Menéndez y asociados S.A.,Marketing,Eventos,Ingreso,3837.95,USD,Transferencia,Pagado,RRHH,Propio sabe enero aspectos grande.,REF-57049,España
TRX-100102,2026-04-29,2026,4,Abril,Atlantic Holdings SL,Suministros SSJL S.L.N.E,Marketing,Publicidad,Gasto,2734.08,EUR,Bizum,Pendiente,Finanzas,Sistema premio toda equipo expresión universidad televisión finalmente tenemos.,REF-89482,Portugal
TRX-100103,2025-09-13,2025,9,Septiembre,Nordic Capital SA,Castro y asociados S.A.,Marketing,Publicidad,Gasto,2043.79,EUR,SEPA,Pagado,Dirección,Principios sola costa poder alto papel.,REF-96400,España
TRX-100104,2024-04-09,2024,4,Abril,Atlantic Holdings SL,Supermercados Inteligentes S.L.,Consultoría,Operaciones,Ingreso,2992.85,EUR,Transferencia,Pagado,Dirección,Mí eran peor programas lópez historia viene habría primeros.,REF-27224,España
TRX-100105,2026-02-04,2026,2,Febrero,Nordic Capital SA,Restauración Valverde y asociados S.L.N.E,Marketing,Eventos,Gasto,3705.56,EUR,SEPA,Pendiente,Operaciones,Creación lugar cuerpo república temas palabra.,REF-79579,España
TRX-100106,2024-09-20,2024,9,Septiembre,Atlantic Holdings SL,Consultoría EIX S.Coop.,Marketing,Publicidad,Gasto,3137.88,EUR,Efectivo,Pendiente,TI,Ella debía cámara electoral precios especial servicio puerta hubiera.,REF-19869,España
TRX-100107,2026-01-11,2026,1,Enero,Andes Investments SL,Promociones BW S.L.L.,Nómina,Seguridad Social,Gasto,6131.58,EUR,Paypal,Pagado,RRHH,Enero hoy unidos título diario lugar ejército consejo.,REF-26199,España
TRX-100108,2025-01-25,2025,1,Enero,Iberia Finance SL,Familia Alfonso S.C.P,Marketing,Contenido,Gasto,4249.96,EUR,Paypal,Pagado,RRHH,Pasa principales decisión estaba podría casos.,REF-52992,Italia
TRX-100109,2024-03-05,2024,3,Marzo,Cresta Partners SA,Grupo Rivas S.L.,Nómina,Seguridad Social,Gasto,1919.35,EUR,Paypal,Pagado,Finanzas,Cara general victoria rey su hijos número mejor empresas debido san.,REF-14877,España
TRX-100110,2024-04-09,2024,4,Abril,Andes Investments SL,Exposito y Boada S.Coop.,Logística,Transporte,Ingreso,1678.39,EUR,Paypal,Pagado,Dirección,Donde próximo sociales vuelve palabra niños futuro ayuda.,REF-80804,España
TRX-100111,2025-11-01,2025,11,Noviembre,Grupo Meridian SA,Izaguirre & Asociados S.Com.,Consultoría,Finanzas,Ingreso,3969.75,EUR,Efectivo,Pagado,Operaciones,Internacional conocimiento única sola campaña.,REF-38477,España
TRX-100112,2024-04-11,2024,4,Abril,Andes Investments SL,Cañellas & Asociados S.Com.,Nómina,Bonos,Gasto,2766.92,USD,Bizum,Pagado,TI,Aspectos pueden cultural bueno padres mismos local parte.,REF-46160,España
